Descricao,Problema,Solucao
meu carro não liga,problema no motor,Verificar bateria e sistema de ignição; se persistir levar a um mecânico especializado
o motor está fazendo barulho estranho,problema no motor,Verificar nível de óleo e filtro; se o barulho continuar procurar um mecânico
percebo um cheiro de gasolina ao ligar o carro,problema no motor,Verificar vazamento no sistema de combustível; evitar dirigir e levar ao mecânico
o motor treme muito quando acelero,problema no motor,Verificar velas e injetores; se o problema persistir procurar assistência especializada
o carro perde potência ao subir uma ladeira,problema no motor,Verificar filtro de ar e sistema de combustão; procurar um mecânico se o problema continuar
sinto um cheiro de queimado vindo do motor,problema no motor,Verificar nível de óleo e correias; procurar assistência imediata se persistir
o carro engasga ao acelerar,problema no motor,Verificar filtro de combustível e velas; buscar assistência se não resolver
o motor falha ao acelerar em alta velocidade,problema no motor,Limpar ou substituir o filtro de combustível; procurar um especialista
o carro não responde ao girar a chave,problema no motor,Verificar bateria e sistema de partida; se necessário procurar um eletricista
o motor funciona de forma irregular,problema no motor,Verificar injeção eletrônica; buscar assistência técnica
o carro apaga quando está parado,problema no motor,Verificar regulagem da lenta; levar ao mecânico se necessário
a luz do motor acendeu no painel,problema no motor,Verificar códigos de erro; levar ao mecânico para diagnóstico
o motor está aquecendo rapidamente,problema no motor,Verificar nível de líquido de arrefecimento; se persistir procurar um especialista
o carro falha ao dar a partida,problema no motor,Verificar bateria e motor de partida; procurar um mecânico se não resolver
sinto vibrações estranhas ao dirigir,problema no motor,Verificar alinhamento e balanceamento; se persistir levar a um mecânico
o motor faz um barulho de batida,problema no motor,Verificar óleo do motor e rolamentos; procurar assistência se o problema continuar
o carro não acelera adequadamente,problema no motor,Verificar pedal do acelerador e sistema de injeção; procurar um mecânico se necessário
o motor funciona apenas em marcha lenta,problema no motor,Verificar regulagem de marcha lenta; se necessário procurar um especialista
o carro solta fumaça branca pelo escapamento,problema no motor,Verificar vedação do cabeçote; evitar uso e levar ao mecânico
o motor não mantém a marcha lenta,problema no motor,Verificar regulagem de lenta e injeção; procurar assistência se não resolver
o carro faz um barulho de estalo ao ligar,problema no motor,Verificar bateria e motor de partida; se necessário levar ao mecânico
o motor não gira ao tentar dar a partida,problema no motor,Verificar bateria e cabos; procurar um eletricista se necessário
sinto falta de potência em subidas,problema no motor,Verificar sistema de injeção e combustível; procurar assistência se o problema persistir
o motor falha quando está frio,problema no motor,Verificar velas e bomba de combustível; se necessário levar ao mecânico
o carro faz barulhos ao desacelerar,problema no motor,Verificar sistema de freios; procurar um mecânico se necessário
